,ŽD–y,ŽD–y,ŽD–y,ŽD–y
Feb-15,59.5,0,8,1
Mar-15,125.5,0,8,1
Apr-15,90,0,8,1
May-15,37,0,8,1
Jun-15,66.5,0,8,1
Jul-15,64,0,8,1
Aug-15,131.5,0,8,1
Sep-15,198,0,8,1
Oct-15,98,0,8,1
Nov-15,137,0,8,1
Dec-15,124,0,8,1
Jan-16,74,0,8,1
Feb-16,109.5,0,8,1
Mar-16,60.5,0,8,1
Apr-16,58.5,0,8,1
May-16,40.5,0,8,1
Jun-16,112.5,0,8,1
Jul-16,118.5,0,8,1
Aug-16,279,0,8,1
Sep-16,107,0,8,1
Oct-16,78,0,8,1
Nov-16,115.5,0,8,1
Dec-16,206.5,0,8,1
Jan-17,72.5,0,8,1
Feb-17,57.5,0,8,1
Mar-17,75.5,0,8,1
Apr-17,65.5,0,8,1
May-17,57.5,0,8,1
Jun-17,168.5,0,8,1
Jul-17,75.5,0,8,1
Aug-17,78.5,0,8,1
Sep-17,187,0,8,1
Oct-17,114,0,8,1
Nov-17,129,0,8,1
Dec-17,77,0,8,1
Jan-18,99.5,0,8,1
Feb-18,43,0,8,1
Mar-18,115.5,0,8,1
Apr-18,36.5,0,8,1
May-18,66,0,8,1
Jun-18,141.5,0,8,1
Jul-18,155.5,0,8,1
Aug-18,228.5,0,8,1
Sep-18,49.5,0,8,1
Oct-18,187,0,8,1
Nov-18,73,0,8,1
Dec-18,86.5,0,8,1
